English,Transliteration,Arabic
Century,Qarn / Qurūn,قَرْنٌ / قُرُونٌ
Year,Sanah / Sanawāt,سَنَةٌ / سَنَوَاتٌ
Month,Shahr / Ashhur,شَهْرٌ / أَشْهُرٌ
Week,Usbu' / Usubu'āt,أُسْبُوعٌ / أُسْبُوعَاتٌ
Day,Yawm / Ayyām,يَوْمٌ / أَيَّامٌ
Hour,Sā'ah / Sā'āt,سَاعَةٌ / سَاعَاتٌ
Third,Thulth / Thulūth,ثُلُثٌ / ثُلُثَاتٌ
Quarter,Rub' / Arbā',رُبْعٌ / أَرْبَاعٌ
Minute,Daqīqah / Daqā'iq,دَقِيقَةٌ / دَقَائِقٌ
Second,Thāniyah / Thāniyāt,ثَانِيَةٌ / ثَوَانٍ
Moment,Lahzah / Lahzāt,لَحْظَةٌ / لَحَظَاتٌ
During,Khilāl,خِلَالَ